,Position,value
COG0015,0,-225.62045538847576
COG0015,1,-199.15619569114529
COG0015,2,-230.41608908623982
COG0015,3,-223.26370182562766
COG0015,4,-222.1329514200727
COG0015,5,-198.65785197485638
COG0015,6,-162.78828904864588
COG0015,7,-178.38849316602875
COG0015,8,-196.46552843631162
COG0015,9,-171.89844006002454
COG0015,10,-200.65686075523877
COG0015,11,-189.517709066429
COG0015,12,-215.47287262964778
COG0015,13,-237.30855345478176
COG0015,14,-195.46022376008557
COG0015,15,-240.06116508455455
COG0015,16,-166.76425851909892
COG0015,17,-205.96532992001505
COG0015,18,-178.3639110015763
COG0015,19,-221.1157594827
COG0015,20,-200.2816374902925
COG0015,21,-262.95602665782803
COG0015,22,-223.8315847618337
COG0015,23,-253.32180886867923
COG0015,24,-248.76320156604436
COG0015,25,-183.8690218892325
COG0015,26,-202.68129481020162
COG0015,27,-183.6312009621272
COG0015,28,-243.5484108466576
COG0015,29,-229.22849050751063
COG0015,30,-205.72283507538782
COG0015,31,-192.73625841642956
COG0015,32,-207.68256579527952
COG0015,33,-258.86739743172893
COG0015,34,-187.92012447249544
COG0015,35,-219.8424371238574
COG0015,36,-247.25185137715278
COG0015,37,-219.90482648925922
COG0015,38,-151.36524209664208
COG0015,39,-208.64068311398432
COG0015,40,-221.43637727944918
COG0015,41,-223.35344376625278
COG0015,42,-227.4287345025101
COG0015,43,-218.67265488659427
COG0015,44,-232.89593679721213
COG0015,45,-193.7229098918259
COG0015,46,-217.06434862826495
COG0015,47,-218.20329991297376
COG0015,48,-251.6934986258168
COG0015,49,-231.4434235967019
COG0015,50,-234.57439653911717
COG0015,51,-216.57031044129678
COG0015,52,-181.34729852868054
COG0015,53,-213.0222521064278
COG0015,54,-200.93462601482747
COG0015,55,-217.47534979164595
COG0015,56,-231.86276041621863
COG0015,57,-203.67053930516454
COG0015,58,-209.17583544266643
COG0015,59,-243.27588702132186
COG0015,60,-191.22140731120692
COG0015,61,-229.93011625195572
COG0015,62,-237.79919744042797
COG0015,63,-250.02899891197427
COG0015,64,-258.2962670842729
COG0015,65,-244.6537554972723
COG0015,66,-221.9883476400231
COG0015,67,-147.66042599380512
COG0015,68,-237.12552587070138
COG0015,69,-222.58926693004355
COG0015,70,-236.98271607147956
COG0015,71,-204.82527148853956
COG0015,72,-211.35801860543654
COG0015,73,-240.84677245488115
COG0015,74,-249.6841046394092
COG0015,75,-218.42071756500934
COG0015,76,-224.70720366466412
COG0015,77,-220.88288373087835
COG0015,78,-180.10566449046848
COG0015,79,-161.81365546958466
COG0015,80,-180.65703896069544
COG0015,81,-225.55066675508317
COG0015,82,-229.00631941873587
COG0015,83,-201.57030714991902
COG0015,84,-205.02825634650912
COG0015,85,-232.67344731964727
COG0015,86,-209.92835936281244
COG0015,87,-205.90890278557185
COG0015,88,-191.80729410404228
COG0015,89,15602.716761419246
COG0015,90,-225.1407332609508
COG0015,91,-234.8297352293664
COG0015,92,-198.90034267862188
COG0015,93,-213.86270641527415
COG0015,94,-198.75125331811194
COG0015,95,-213.1008171791176
COG0015,96,-211.23486604080904
COG0015,97,-194.84068682133704
